Region,Quartile,Without DNSSEC (pub),With Valid DNSSEC (pub),With Invalid DNSSEC (pub),Without DNSSEC (pvt),With Valid DNSSEC (pvt),With Invalid DNSSEC (pvt)
Bayern,1,52.94117647058824,29.411764705882355,17.647058823529413,75.0,8.333333333333332,16.666666666666664
Rheinland-Pfalz,1,86.66666666666667,13.333333333333334,0.0,83.33333333333334,16.666666666666664,0.0
Mecklenburg-Vorpommern,1,71.42857142857143,28.57142857142857,0.0,0.0,0.0,0.0
Brandenburg,1,80.0,10.0,10.0,88.88888888888889,11.11111111111111,0.0
Bremen,1,80.0,20.0,0.0,100.0,0.0,0.0
Nordrhein-Westfalen,2,92.85714285714286,7.142857142857142,0.0,92.0,4.0,4.0
Hamburg,2,80.0,10.0,10.0,100.0,0.0,0.0
Niedersachsen,2,95.23809523809523,4.761904761904762,0.0,100.0,0.0,0.0
Hessen,2,95.45454545454545,4.545454545454546,0.0,100.0,0.0,0.0
Sachsen,3,95.65217391304348,0.0,4.3478260869565215,100.0,0.0,0.0
Baden-Württemberg,3,97.91666666666666,0.0,2.083333333333333,100.0,0.0,0.0
Berlin,3,100.0,0.0,0.0,100.0,0.0,0.0
Saarland,3,100.0,0.0,0.0,100.0,0.0,0.0
Sachsen-Anhalt,4,100.0,0.0,0.0,100.0,0.0,0.0
Schleswig-Holstein,4,100.0,0.0,0.0,100.0,0.0,0.0
Thüringen,4,100.0,0.0,0.0,100.0,0.0,0.0
Total,4,88.69257950530034,7.773851590106007,3.53356890459364,96.0,2.2857142857142856,1.7142857142857144
